name,slug,genre,image_url,description,social_links,
The Devin Townsend Project,the-devin-townsend-project,,,,,
AxeWound,axewound,,,,,
While She Sleeps,while-she-sleeps,,,,,
The Defiled,the-defiled,,,,,
Hounds,hounds,,,,,
Absolute Power,absolute-power,,,,,
Silent Descent,silent-descent,,,,,
Impaled Existence,impaled-existence,,,,,
The Safety Fire,the-safety-fire,,,,,
Marmozets,marmozets,,,,,
Upon a Burning Body,upon-a-burning-body,,,,,
Dive Bella Dive,dive-bella-dive,,,,,
Reachback,reachback,,,,,
Dead Harts,dead-harts,,,,,
The Jellycats,the-jellycats,,,,,
Broken,broken,,,,,
Million Dollar Reload,million-dollar-reload,,,,,
Neonfly,neonfly,,,,,
With One Last Breath,with-one-last-breath,,,,,
Tenacious D,tenacious-d,,,,,
Theory of a Deadman,theory-of-a-deadman,,,,,
Four Year Strong,four-year-strong,,,,,
The Mission,the-mission,,,,,
The Union,the-union,,,,,
Corey Taylor,corey-taylor,,,,,
The Treatment,the-treatment,,,,,
Anti-Nowhere League,anti-nowhere-league,,,,,
Gun,gun,,,,,
The Yo-Yos,the-yo-yos,,,,,
Avosetta,avosetta,,,,,
Cockney Rejects,cockney-rejects,,,,,
Fearless Vampire Killers,fearless-vampire-killers,,,,,
Mallory Knox,mallory-knox,,,,,
Butcher Babies,butcher-babies,,,,,
I Divide,i-divide,,,,,
Golden Tanks,golden-tanks,,,,,
4Arm,4arm,,,,,
Freebase,freebase,,,,,
Royal Cartel,royal-cartel,,,,,
Tyla,tyla,,,,,
Toby Jepson,toby-jepson,,,,,
Six Hour Sundown,six-hour-sundown,,,,,
Soundgarden,soundgarden,,,,,
Black Label Society,black-label-society,,,,,
Kyuss Lives!,kyuss-lives!,,,,,
Stellar Revival,stellar-revival,,,,,
Dropkick Murphys,dropkick-murphys,,,,,
Refused,refused,,,,,
Ugly Kid Joe,ugly-kid-joe,,,,,
Sebastian Bach,sebastian-bach,,,,,
Rival Sons,rival-sons,,,,,
Kobra and the Lotus,kobra-and-the-lotus,,,,,
Periphery,periphery,,,,,
Emmure,emmure,,,,,
La Dispute,la-dispute,,,,,
The JCQ,the-jcq,,,,,
Edguy,edguy,,,,,
Feed the Rhino,feed-the-rhino,,,,,
Skarlett Riot,skarlett-riot,,,,,
William Control,william-control,,,,,
Hawk Eyes,hawk-eyes,,,,,
The Minutes,the-minutes,,,,,
Kopek,kopek,,,,,
Strangle Kojak,strangle-kojak,,,,,
Adelaide,adelaide,,,,,
Mechanical Smile,mechanical-smile,,,,,
PitchBlack,pitchblack,,,,,
Kamchatka,kamchatka,,,,,
Saint Jude,saint-jude,,,,,
Furyon,furyon,,,,,
Mordecai,mordecai,,,,,
Daken,daken,,,,,
Sanguine,sanguine,,,,,
White Powder Gold,white-powder-gold,,,,,
Gogol Bordello,gogol-bordello,,,,,
3 Doors Down,3-doors-down,,,,,
Europe,europe,,,,,
Uriah Heep,uriah-heep,,,,,
Monster Truck,monster-truck,,,,,
Converge,converge,,,,,
Motionless in White,motionless-in-white,,,,,
The Sword,the-sword,,,,,
Hang the Bastard,hang-the-bastard,,,,,
Patent Pending,patent-pending,,,,,
Palm Reader,palm-reader,,,,,
Emperor Chung,emperor-chung,,,,,
FIDLAR,fidlar,,,,,
The Algorithm,the-algorithm,,,,,
Blood Command,blood-command,,,,,
Verses,verses,,,,,
Zoax,zoax,,,,,
Semperfi,semperfi,,,,,
Akord,akord,,,,,
Free Fall,free-fall,,,,,
Hammer of the Gods,hammer-of-the-gods,,,,,
Walking Papers,walking-papers,,,,,
Hear Kitty Kitty,hear-kitty-kitty,,,,,
Toseland,toseland,,,,,
Rob Lynch,rob-lynch,,,,,
Queens of the Stone Age,queens-of-the-stone-age,,,,,
Black Star Riders,black-star-riders,,,,,
UFO,ufo,,,,,
Lit,lit,,,,,
Karnivool,karnivool,,,,,
Katatonia,katatonia,,,,,
The Hives,the-hives,,,,,
Uncle Acid & the Deadbeats,uncle-acid-&-the-deadbeats,,,,,
Bury Tomorrow,bury-tomorrow,,,,,
Heart of a Coward,heart-of-a-coward,,,,,
Empress AD,empress-ad,,,,,
Nekrogoblikon,nekrogoblikon,,,,,
earthtone9,earthtone9,,,,,
Crowns,crowns,,,,,
Last Witness,last-witness,,,,,
Rat Attack,rat-attack,,,,,
Lonely the Brave,lonely-the-brave,,,,,
Press to Meco,press-to-meco,,,,,
Searching Alaska,searching-alaska,,,,,
Wounds,wounds,,,,,
Sky Valley Mistress,sky-valley-mistress,,,,,
Silent Screams,silent-screams,,,,,
Black Moth,black-moth,,,,,
Astroid Boys,astroid-boys,,,,,
Idiom,idiom,,,,,
Wild Lies,wild-lies,,,,,
Cytota,cytota,,,,,
Devin Townsend,devin-townsend,,,,,
Acoustic TV,acoustic-tv,,,,,
Buffalo Summer,buffalo-summer,,,,,
Fahran,fahran,,,,,
The Killing Floor,the-killing-floor,,,,,
The Afterparty,the-afterparty,,,,,
Rammstein,rammstein,,,,,
Coal Chamber,coal-chamber,,,,,
Masters of Reality,masters-of-reality,,,,,
Graveyard,graveyard,,,,,
The Ghost Inside,the-ghost-inside,,,,,
P.O.D,p.o.d,,,,,
Newsted,newsted,,,,,
Red Fang,red-fang,,,,,
